mes;valor;precio;cantidad
01-2004;85.99981646;94.74751423;90.76547971
02-2004;72.90965475;95.36504879;76.45310242
03-2004;90.35617598;96.68743698;93.48141787
04-2004;88.26141263;97.87861107;90.23200013
05-2004;95.81474031;99.75594181;96.11595675
06-2004;109.0299433;99.66544712;109.4520431
07-2004;105.3135811;101.9898195;103.2690118
08-2004;108.6177159;101.6999897;106.7873959
09-2004;108.2751209;101.4101908;106.7435923
10-2004;105.4565015;103.3292032;102.0346821
11-2004;117.2247057;103.0238107;113.7816409
12-2004;112.7406313;101.1469861;111.483677
01-2005;101.6345371;105.2938855;96.57323158
02-2005;99.8314212;105.089439;95.0553998
03-2005;117.4893434;106.1166755;110.7713686
04-2005;127.2381987;108.4478865;117.3464226
05-2005;132.3734805;108.6737061;121.8052315
06-2005;145.6136218;108.3784074;134.3483459
07-2005;125.5872844;107.7301492;116.5575075
08-2005;140.377037;108.2053069;129.7192579
09-2005;131.9520418;107.7645439;122.4232346
10-2005;133.8014975;107.6273328;124.2919525
11-2005;144.4112908;108.3780923;133.2266686
12-2005;133.3875446;110.6945748;120.4813789
01-2006;124.2294868;110.5395591;112.3780302
02-2006;124.3578245;111.2032586;111.824179
03-2006;145.5328976;111.8571822;130.0977908
04-2006;136.0892036;112.215473;121.2326652
05-2006;151.0835617;111.7231348;135.190592
06-2006;152.8613133;114.1613922;133.8767428
07-2006;152.4970673;114.8360922;132.8136038
08-2006;175.4022253;115.8164746;151.5008659
09-2006;169.44821;115.2474332;147.0855304
10-2006;174.0293077;116.2045171;149.8062661
11-2006;173.0731835;115.6281504;149.7084159
12-2006;147.3660974;114.0673325;129.185318
01-2007;157.7726135;116.1776614;135.7718179
02-2007;149.2045209;115.7452138;128.8826659
03-2007;182.957485;116.6771247;156.8455162
04-2007;163.6458831;118.3194085;138.4226744
05-2007;189.3733863;119.3726394;158.8024566
06-2007;191.342065;122.0079521;156.974869
07-2007;220.5795607;125.3093602;176.1231001
08-2007;246.2733884;126.7269091;194.3792315
09-2007;211.8785273;124.7637307;169.7976684
10-2007;235.2642913;124.4807394;188.9269761
11-2007;234.4100615;122.5692254;191.1396225
12-2007;207.5091093;124.0500352;167.1334013
01-2008;239.4370403;124.6129522;192.0050124
02-2008;225.0687835;126.3545528;177.9739479
03-2008;222.5891541;129.432495;171.8210397
04-2008;263.5515247;135.3440597;194.5957426
05-2008;278.0342797;141.2574018;196.7064105
06-2008;277.79514;149.0985385;186.1978468
07-2008;323.2836455;148.8005077;217.1687167
08-2008;275.8039157;145.0871964;190.1536881
09-2008;283.9382393;145.6122958;195.3775952
10-2008;274.2113125;139.531231;197.3812359
11-2008;223.5994307;130.7118296;172.0408927
12-2008;184.8229025;125.4569394;148.0778714
01-2009;147.5623624;120.4520709;122.7037267
02-2009;142.3875048;121.2752888;117.2924311
03-2009;154.4211924;120.3726403;128.1038422
04-2009;148.4474858;122.7170281;120.9461777
05-2009;142.2128091;122.8574184;115.7924105
06-2009;193.4800019;123.1255534;157.1614118
07-2009;191.8753362;123.6290114;155.0785778
08-2009;174.0330894;123.6022549;140.5802937
09-2009;195.9922279;117.8687337;166.0411286
10-2009;195.4746871;117.6979547;165.8650152
11-2009;195.2046117;118.7871874;164.2072175
12-2009;192.5526965;121.414858;158.6277673
01-2010;171.5742096;120.1049944;143.1170497
02-2010;184.7196844;122.3022032;151.3913397
03-2010;235.3913415;125.6928024;187.5916105
04-2010;219.2535013;125.6564508;174.5875549
05-2010;244.6150654;133.4761399;183.2507092
06-2010;275.3910683;129.9674093;211.861736
07-2010;282.8481198;129.0917249;219.1346167
08-2010;286.3218043;127.9046734;223.9102027
09-2010;285.3309193;125.8036017;226.8551806
10-2010;264.6898518;125.0986804;211.5856392
11-2010;298.0851462;125.2957866;237.9148963
