mes;tcrm
01-2004;159.6
02-2004;160.3
03-2004;157.2
04-2004;152.2
05-2004;152.5
06-2004;154.3
07-2004;155.8
08-2004;159.4
09-2004;160.3
10-2004;160.4
11-2004;162.9
12-2004;166.9
01-2005;164
02-2005;162.8
03-2005;160
04-2005;159.7
05-2005;161.2
06-2005;159.1
07-2005;157.9
08-2005;160
09-2005;162.3
10-2005;164.5
11-2005;163.6
12-2005;163.5
01-2006;164.9
02-2006;167.8
03-2006;167.7
04-2006;167.3
05-2006;166.5
06-2006;164.3
07-2006;165.7
08-2006;166.3
09-2006;165.9
10-2006;164.8
11-2006;163.2
12-2006;162.7
01-2007;162.3
02-2007;163.8
03-2007;163.7
04-2007;163.8
05-2007;162.1
06-2007;160
07-2007;160.7
08-2007;156.6
09-2007;155.4
10-2007;158.3
11-2007;159.2
12-2007;159.1
01-2008;159.3
02-2008;159.4
03-2008;159.1
04-2008;156.1
05-2008;153.7
06-2008;148.5
07-2008;147
08-2008;143.6
09-2008;137.4
10-2008;128.2
11-2008;127.5
12-2008;129.1
01-2009;131.2
02-2009;131.4
03-2009;135.8
04-2009;137.7
05-2009;142.5
06-2009;147.7
07-2009;149.2
08-2009;151.7
09-2009;151.1
10-2009;151.6
11-2009;150.5
12-2009;146.3
01-2010;141.4
02-2010;135.7
03-2010;133.7
04-2010;132.6
05-2010;128.2
06-2010;126.6
07-2010;128
08-2010;127.7
09-2010;128.7
10-2010;129.5
11-2010;126
12-2010;124.5
01-2011;124.6
02-2011;126.5
03-2011;126.5
04-2011;128.2
05-2011;125.8
06-2011;125.3
07-2011;125.6
08-2011;123.5
09-2011;116.7
10-2011;114.1
11-2011;113.1
12-2011;110.4
01-2012;111.1
02-2012;113.8
03-2012;109.8
04-2012;106.9
05-2012;102.6
06-2012;100.3
07-2012;100.1
08-2012;100.5
09-2012;101.5
10-2012;101.8
11-2012;100.7
12-2012;101.4
01-2013;102.5
02-2013;103.5
03-2013;102.7
04-2013;102.2
05-2013;101.3
06-2013;99.1
07-2013;97.3
08-2013;96.9
09-2013;98.9
10-2013;100.5
11-2013;98.6
12-2013;101
01-2014;108.2
02-2014;114.8
03-2014;112.2
04-2014;111.6
05-2014;109.8
06-2014;108.5
07-2014;107.1
08-2014;105.7
09-2014;102.5
10-2014;99
11-2014;96
12-2014;93
01-2015;91.3
02-2015;88.7
03-2015;84.6
04-2015;84.9
05-2015;84.8
06-2015;84
07-2015;82.3
08-2015;79.3
09-2015;76.2
10-2015;76.1
11-2015;75.4
12-2015;85.1
01-2016;96
02-2016;102.5
03-2016;103
04-2016;97.4
05-2016;91.5
06-2016;89.3
07-2016;92.9
08-2016;92.8
09-2016;93.3
10-2016;92.2
11-2016;89.2
12-2016;90.2
01-2017;90.9
02-2017;89
03-2017;86.8
04-2017;84
05-2017;84.5
06-2017;85.3
07-2017;91.3
08-2017;92.7
09-2017;90.9
10-2017;89.4
11-2017;87.7
12-2017;87.1
01-2018;93.5
02-2018;96.2
03-2018;95.6
04-2018;92.1
05-2018;101.4
06-2018;109.3
07-2018;109.5
08-2018;113.3
09-2018;136.7
10-2018;127
11-2018;118.9
12-2018;119.2
01-2019;116.6
02-2019;116.6
03-2019;119.7
04-2019;120.1
05-2019;119.4
06-2019;114.8
07-2019;109.8
08-2019;127.8
09-2019;130.7
10-2019;129.8
11-2019;127
12-2019;123.6
