book_id,isbn,title,original_title,authors,original_publication_year,average_rating,ratings_count,image_url,small_image_url,genres
2767052,439023483,"The Hunger Games (The Hunger Games, #1)",The Hunger Games,Suzanne Collins,2008,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,"fiction, fantasy, romance, thriller, suspense, contemporary"
3,439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",1997,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,"fantasy, fiction, classics, paranormal, mystery, contemporary"
41865,316015849,"Twilight (Twilight, #1)",Twilight,Stephenie Meyer,2005,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,"fantasy, fiction, paranormal, contemporary, horror"
2657,61120081,To Kill a Mockingbird,To Kill a Mockingbird,Harper Lee,1960,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,"classics, fiction, history, crime, contemporary, mystery"
4671,743273567,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,1925,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,"classics, fiction, romance"
11870085,525478817,The Fault in Our Stars,The Fault in Our Stars,John Green,2012,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,"fiction, romance, contemporary"
5907,618260307,The Hobbit,The Hobbit or There and Back Again,J.R.R. Tolkien,1937,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,"fantasy, classics, fiction"
5107,316769177,The Catcher in the Rye,The Catcher in the Rye,J.D. Salinger,1951,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,"classics, fiction, contemporary"
960,1416524797,"Angels & Demons  (Robert Langdon, #1)",Angels & Demons ,Dan Brown,2000,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,"fiction, mystery, thriller, suspense, crime, contemporary, religion, fantasy, history, classics, romance, art"
1885,679783261,Pride and Prejudice,Pride and Prejudice,Jane Austen,1813,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,"classics, fiction, romance, history"
77203,1594480001,The Kite Runner,The Kite Runner ,Khaled Hosseini,2003,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,"fiction, contemporary, classics, history"
13335037,62024035,"Divergent (Divergent, #1)",Divergent,Veronica Roth,2011,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,"fiction, fantasy, romance, thriller"
5470,451524934,1984,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",1949,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,"fiction, fantasy, philosophy, horror"
7613,452284244,Animal Farm,Animal Farm: A Fairy Story,George Orwell,1945,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,"classics, fiction, fantasy, philosophy, history"
48855,553296981,The Diary of a Young Girl,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,"classics, history, biography, nonfiction, memoir, fiction"
2429135,307269752,"The Girl with the Dragon Tattoo (Millennium, #1)",Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",2005,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,"fiction, mystery, thriller, crime, suspense, contemporary"
6148028,439023491,"Catching Fire (The Hunger Games, #2)",Catching Fire,Suzanne Collins,2009,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,"fantasy, romance, thriller, suspense, fiction, contemporary"
5,043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,"fantasy, fiction, classics, paranormal, mystery, contemporary"
34,618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)", The Fellowship of the Ring,J.R.R. Tolkien,1954,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,"fantasy, classics, fiction"
